名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
鰧魚,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"狀如鱖,居逵,倉文,赤尾,",prompt: 一条状如鳜鱼的鰧魚，栖息在深邃的水域中，身体覆盖着苍色的纹理，尾巴呈现出鲜艳的赤红色，整体形象生动而神秘，背景为水墨风格的山水画，色彩以淡雅为主，点缀着几抹鲜艳的颜色，展现出传统中国美学的魅力。,动物\鱼名\鰧魚.png,tengyu（鰧魚）,"prompt: A mandarin fish-like ray, inhabiting deep waters, the body is covered with pale texture, the tail shows a bright crimson color, the overall image is vivid and mysterious, the background is an ink style landscape painting, the color is mainly elegant, dotted with a few bright colors, showing the charm of traditional Chinese aesthetics."
鮪,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一条古老的鮪鱼，身体庞大而流线型，鳞片闪烁着银色光泽，尾鳍宽大有力。它在波涛汹涌的海面上跃出水面，背景是夕阳下的壮丽海景，海水呈现出深蓝和浅蓝交织的层次感。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩柔和，富有诗意。,动物\鱼名\鮪.png,wei（鮪）,"Prompt: An ancient tuna with a large and streamlined body, shimmering silvery scales, and a wide and powerful caudal fin. It leaps out of the water on the rough sea, with a magnificent seascape in the background of the setting sun, and the sea water presents layers of deep blue and light blue. The picture adopts the color ink style of traditional Chinese aesthetics, with smooth lines, soft colors and poetry."
文魚,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一条古老的文鱼，身体修长，鳞片闪耀着五彩斑斓的光芒，尾巴宽大如扇，游动时如同水中彩虹。它的眼睛明亮有神，仿佛能洞察人心。周围是清澈见底的水域，水草轻轻摇曳，几朵莲花点缀其间，展现出一幅宁静而神秘的古代水墨画卷。,动物\鱼名\文魚.png,wenyu（文魚）,"prompt: An ancient literary fish with a slender body, scales shining with colorful light, a wide tail like a fan, and swimming like a rainbow in water. Its eyes are bright and spirited, as if they can see into people's hearts. Surrounded by crystal clear waters, aquatic plants sway gently, and several lotus flowers dot it, showing a peaceful and mysterious ancient ink painting."
文鰩魚,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"狀如鯉魚,魚身,鳥翼,蒼文,白首赤喙,常行西海,遊於東海,以夜飛,音如鸞雞,其味酸甘,",prompt: 文鳐鱼，形象为鲤鱼身，拥有鸟翼，身上有苍色的纹理，头部白色，喙部红色。常在西海游弋，也会飞到东海，夜晚飞行时发出如同鸾鸡般的叫声，其肉味酸甜。请以古代插画风格和传统中国美学的彩色水墨风格绘制。,动物\鱼名\文鰩魚.png,wenyaoyu（文鰩魚）,"prompt: The ray is shaped like a carp, with bird wings, blue textures, a white head, and a red beak. It often cruises in the West China Sea and also flies to the East China Sea, and when it flies at night, it makes a cry like a luan rooster, and its meat tastes sweet and sour. Please draw in the color ink style of ancient illustration style and traditional Chinese aesthetics."
鰕,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"即有神聖乗此以行九野,一曰鼈魚,在夭野北,其爲魚也如鯉,",prompt: 一只神圣的鰕鱼，它被神明骑乘着在九野之间穿梭。这只鱼也被称为鼈鱼，位于夭野之北。它的外形与鲤鱼相似，但身上有着神秘的光环，象征着其非凡的身份。画面采用传统中国美学的彩色水墨风格，背景是浩渺的星空和古老的山川，展现出一种宁静而神秘的氛围。,动物\鱼名\鰕.png,xia（鰕）,"Prompt: A sacred mackerel that is ridden by the gods to shuttle between the nine fields. This fish is also known as the tortoise and is located north of Yaoye. It resembles a carp in appearance but has a mysterious aura that symbolizes its extraordinary identity. The painting adopts the color ink style of traditional Chinese aesthetics, with a vast starry sky and ancient mountains and rivers in the background, showing a serene and mysterious atmosphere."
赤鮭,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一条古代神话中的赤鮭鱼，身体呈鲜艳的红色，鳞片闪耀着金属光泽，尾巴宽大而有力，游动时如同火焰在水中舞动。背景为深邃的蓝色海洋，几束阳光穿透水面，形成斑驳光影。画面采用传统中国美学的彩色水墨风格，笔触细腻，色彩层次丰富。,动物\鱼名\赤鮭.png,chigui（赤鮭）,"prompt: An ancient mythical red salmon with a bright red body, shining metallic scales, and a wide and powerful tail, swimming like a flame dancing in the water. The background is a deep blue ocean, and several rays of sunlight penetrate the water, creating mottled light and shadow. The picture adopts the color ink style of traditional Chinese aesthetics, with delicate brushstrokes and rich color layers."
脩辟之魚,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"狀如龜,白喙,其音如鴟,",prompt：脩辟之魚，形如龟，白喙，其音如鴟。请以古代插画风格和传统中国美学的彩色水墨风格描绘此鱼，其身姿如龟般稳重，嘴部洁白，仿佛能发出如同鴟鸟般的叫声，背景可选择山海经中常见的山水景致，色彩以淡雅为主，展现出一种神秘而古朴的氛围。,动物\鱼名\脩辟之魚.png,xiupizhiyu（脩辟之魚）,"Prompt: The fish of the Xiu Pi is shaped like a turtle, with a white beak, and its sound is like a bird. Please depict this fish in the color ink style of ancient illustration style and traditional Chinese aesthetics, its posture is as stable as a turtle, its mouth is white, as if it can make a call like an ostrich, the background can choose the common landscape scenery in the Classic of Mountains and Seas, the color is mainly elegant, showing a mysterious and simple atmosphere."
鰼鰼之魚,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如鵲,十翼,鱗皆在羽端,其音如鵲,",prompt: 一只名为鰼鰼之魚的神话生物，其形状如同喜鹊，但拥有十只翅膀，鳞片长在羽毛的末端。它的叫声也像喜鹊一样清脆悦耳。请以古代插画风格和传统中国美学的彩色水墨风格描绘这一神秘的生物。背景可以是古风山水，画面中流淌着一种宁静而神秘的气息。,动物\鱼名\鰼鰼之魚.png,xixizhiyu（鰼鰼之魚）,"Prompt: A mythical creature called the Rayfish that resembles a magpie but has ten wings and scales at the ends of feathers. Its call is also crisp and melodious like a magpie. Depict this mysterious creature in the style of ancient illustration and the colorful ink style of traditional Chinese aesthetics. The background can be an ancient landscape, and there is a serene and mysterious atmosphere flowing in the picture."
鱃魚,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如鯉,大首,",prompt: 一条大头的鱃魚，形状像鲤鱼，头部特别大，身体线条流畅，鳞片细腻有光泽。采用彩色水墨风格绘制，背景为淡雅的山水，展现出古代插画的韵味。,动物\鱼名\鱃魚.png,xiuyu（鱃魚）,"prompt: A big-headed carp, shaped like a carp, with a particularly large head, smooth body lines, and delicate and shiny scales. Painted in colorful ink style, the background is elegant landscape, showing the charm of ancient illustrations."
䲀魚,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 《山海经》中的神秘鱼种，名为䲀魚。请以传统中国美学的彩色水墨风格绘制此鱼，其体态修长，鳞片细腻且色彩斑斓，鱼鳍轻盈透明，游弋于清澈见底的溪流之中，背景为幽静山谷，绿树环绕，增添几分古朴宁静之美。,动物\鱼名\䲀魚.png,zhiyu（䲀魚）,"prompt: A mysterious fish species in the ""Classic of Mountains and Seas"", called fish. Please paint this fish in the color ink style of traditional Chinese aesthetics, its body is slender, the scales are delicate and colorful, the fins are light and transparent, swimming in the crystal clear stream, the background is a quiet valley, surrounded by greenery, adding a bit of simple and tranquil beauty."
魚婦,动物,鱼名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"魚偏枯,顓頊死即復蘇,風道北來,天及大水泉,蛇乃化為魚,是為魚婦,",prompt: 鱼妇，形象为半鱼半蛇的神秘生物，身体一侧干枯，象征颛顼死后复苏的传说。画面中，鱼妇在大水泉中游弋，周围环绕着北风带来的寒气，背景是古老的山水画卷，采用传统中国美学的彩色水墨风格，展现出神话与自然的和谐共存。,动物\鱼名\魚婦.png,yufu（魚婦）,"prompt: The fish woman, a mysterious creature with the image of half fish and half snake, has a dry side of her body, symbolizing the legend of Zhuanxu's resurrection after death. In the picture, the fish woman is swimming in the large spring, surrounded by the cold air brought by the north wind, and the background is an ancient landscape painting, using the color ink style of traditional Chinese aesthetics, showing the harmonious coexistence of mythology and nature."
