名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
玄龜,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 玄龜，古代神话中的神龟，体型庞大，背负着厚重的墨绿色甲壳，甲壳上刻有神秘的符文和山川河流图案。其头部呈龙形，长有两根弯曲的龙须，眼睛炯炯有神，闪烁着智慧的光芒。四肢粗壮有力，脚掌宽大，适合在陆地上行走。玄龜常栖息于深潭之中，象征着长寿与智慧，背景为幽静的山林和清澈的溪流，画面采用传统中国彩色水墨风格，色彩淡雅，线条流畅。,动物\龟鳖\玄龜.png,xuangui（玄龜）,"Prompt: Xuan Turtle, the divine turtle in ancient mythology, is large and carries a heavy dark green carapace engraved with mysterious runes and mountain and river patterns. Its head is dragon-shaped, with two curved whiskers, and its eyes are piercing and shining with wisdom. The limbs are thick and powerful, and the soles of the feet are wide, suitable for walking on land. The black turtle often inhabits deep pools, symbolizing longevity and wisdom, with quiet mountains and clear streams in the background, and the picture adopts the traditional Chinese color ink style, with elegant colors and smooth lines."
旋龜,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如龜,鳥首,虺尾,其音如判木,",prompt: 旋龟，其状如龟，鸟首虺尾，其音如判木。请以彩色水墨风格描绘一只具有古代神话色彩的旋龟，龟壳上有着细腻的纹理和神秘的图案，头部像一只优雅的鸟，尾巴则像蛇一样蜿蜒曲折，整体形象既古朴又充满神秘感。背景可以是山海经中常见的云雾缭绕的山水景色，色调以淡雅为主，突出旋龟的独特魅力。,动物\龟鳖\旋龜.png,xuangui（旋龜）,"The shape of the turtle resembles a turtle, with a bird's head and a snake's tail, and its sound is like a wooden board. Please depict a spiral turtle with ancient mythological colors in the style of colorful ink, with delicate textures and mysterious patterns on the shell, the head like an elegant bird, and the tail like a snake, the overall image is both simple and mysterious. The background can be the misty landscape scenery common in the Classic of Mountains and Seas, with light and elegant tones, highlighting the unique charm of the spiral turtle."
蠵龜,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只巨大的蠵龜，龟壳上绘制着古老的图腾和神秘的符文，壳色呈现出深邃的墨绿色，边缘点缀着金色的光芒。它的四肢粗壮有力，爪子锋利如钩，眼睛闪烁着智慧的光芒。背景是波涛汹涌的大海，远处有几座仙山若隐若现，整个画面采用传统的中国彩色水墨风格，充满了神秘而古老的气息。,动物\龟鳖\蠵龜.png,xigui（蠵龜）,"prompt: A giant loggerhead turtle with ancient totems and mysterious runes painted on its shell, its shell color is deep dark green, and the edges are dotted with golden light. Its limbs are thick and powerful, its claws are as sharp as hooks, and its eyes shimmer with wisdom. The background is a rough sea, with several fairy mountains looming in the distance, and the whole picture adopts the traditional Chinese color ink style, full of mystery and antiquity."
龞,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只巨大的古老龞，其背壳上雕刻着神秘的符文和图案，呈现出青铜般的质感。它的眼睛深邃而智慧，仿佛能洞察世间万物。背景为幽暗的山洞，四周散落着古老的石刻和壁画，透露出浓厚的古代神话气息。整体画面采用传统中国美学的彩色水墨风格，色彩古朴而富有层次感。,动物\龟鳖\龞.png,bie（龞）,"prompt: A large ancient sand with mysterious runes and patterns carved into its back shell, giving it a bronze-like texture. Its eyes are deep and wise, as if it can see into everything in the world. The background is a dark cave, surrounded by ancient stone carvings and murals, revealing a strong atmosphere of ancient mythology. The overall picture adopts the color ink style of traditional Chinese aesthetics, and the colors are simple and layered."
龜,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只古老的龜，身体庞大而坚实，背甲上布满了神秘的符文和图案，仿佛记录着远古的秘密。它的头部微微抬起，眼神深邃且充满智慧，四肢粗壮有力，踏在一片幽静的水面上，周围环绕着轻柔的雾气，背景是朦胧的山峦与苍翠的古木，整个画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种宁静而深远的意境。,动物\龟鳖\龜.png,gui（龜）,"prompt: An ancient turtle with a large and solid body, and its carapace is covered with mysterious runes and patterns, as if recording ancient secrets. Its head is slightly raised, its eyes are deep and full of wisdom, its limbs are thick and powerful, it steps on a quiet water, surrounded by soft mist, the background is hazy mountains and verdant ancient trees, the whole picture adopts the color ink style of traditional Chinese aesthetics, the colors are elegant, the lines are smooth, showing a quiet and far-reaching artistic conception."
龍龜,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：一只神秘的龍龜，龟鳖类生物，拥有龙的头部和龟的身体。它的头部有龙角，双眼炯炯有神，散发着智慧的光芒。身体覆盖着坚硬的龟壳，壳上刻有古老的符文，象征着长寿和力量。四肢粗壮有力，脚掌宽大，能在水中自由游动。背景是云雾缭绕的山峦，远处有瀑布和古木参天，整体画面采用传统中国美学的彩色水墨风格，色彩淡雅而富有层次感。,动物\龟鳖\龍龜.png,longgui（龍龜）,"Prompt: A mysterious dragon turtle, a turtle-like creature with the head of a dragon and the body of a turtle. It has dragon horns on its head, and its eyes are piercing, radiating wisdom. The body is covered with a hard turtle shell, on which ancient runes are carved into it, symbolizing longevity and strength. The limbs are thick and powerful, the soles of the feet are wide, and they can swim freely in the water. The background is cloudy mountains, with waterfalls and towering ancient trees in the distance, and the overall picture adopts the color ink style of traditional Chinese aesthetics, with elegant and layered colors."
黽,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只古老的黽，属于龟鳖类，栖息在幽静的山涧之中。其背甲宽大而坚固，呈现出深绿色与棕色交织的纹理，仿佛是岁月沉淀下的自然画卷。四肢粗壮有力，爪子尖锐，适应于在水中和陆地上的生活。头部小巧，眼睛灵动有神，嘴巴微张，似乎在轻轻呼吸。背景为典型的中国山水画风格，远处山峦叠嶂，云雾缭绕，近处溪水潺潺，古木参天，营造出一种宁静而神秘的氛围。整体画面采用传统彩色水墨技法绘制，色彩淡雅，线条流畅，展现出浓厚的古典韵味。,动物\龟鳖\黽.png,mian（黽）,"prompt: An ancient sturgeon, belonging to the turtle family, inhabits a quiet mountain stream. Its carapace is wide and strong, showing a dark green and brown intertwined texture, as if it is a natural picture precipitated by the years. The limbs are thick and powerful, and the claws are sharp, adapted to life in water and on land. The head is small, the eyes are smart, and the mouth is slightly open, as if it is breathing gently. The background is typical Chinese landscape painting style, with mountains and mist in the distance, streams gurgling nearby, and towering ancient trees, creating a peaceful and mysterious atmosphere. The overall picture is painted using traditional color ink techniques, with elegant colors and smooth lines, showing a strong classical charm."
三足鼈,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"枝尾,",prompt: 三足鼈，一种古老的龟鳖类生物，拥有三条强壮的腿和一条独特的枝状尾巴。画面中，它静静地躺在清澈见底的溪流旁，周围环绕着茂密的古树和奇花异草。它的壳上有着细腻的纹理，仿佛记录了千年的历史。整体风格采用传统中国美学的彩色水墨画风，背景以淡雅的山水为衬托，展现出一种宁静而神秘的氛围。,动物\龟鳖\三足鼈.png,sanzubie（三足鼈）,"Prompt: The three-legged tortoise, an ancient turtle-like creature with three strong legs and a distinctive branched tail. In the picture, it lies quietly next to a crystal clear stream, surrounded by dense ancient trees and exotic flowers. Its shell has a delicate texture that seems to record thousands of years of history. The overall style adopts the color ink painting style of traditional Chinese aesthetics, and the background is set against the light landscape, showing a serene and mysterious atmosphere."
三足龜,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 三足龜，一种神秘的龟鳖类生物，拥有三个强壮有力的脚爪，身体覆盖着坚硬的甲壳，呈现出深绿色和棕色的斑驳纹理。它的头部小巧而灵活，眼睛明亮有神，仿佛能洞察世间万物。背景为幽静的山林溪流，水面上漂浮着几朵盛开的莲花，周围环绕着茂密的竹林和奇花异草，整个画面充满了古典中国山水画的韵味，色彩以淡雅的水墨风格为主，细节精致细腻，展现出一种宁静而神秘的氛围。,动物\龟鳖\三足龜.png,sanzugui（三足龜）,"Prompt: The three-legged turtle, a mysterious turtle-like creature, has three strong and powerful claws, and its body is covered in a hard carapace with mottled textures of dark green and brown. Its head is small and flexible, and its eyes are bright and divine, as if it can see everything in the world. The background is a quiet mountain stream, a few blooming lotus flowers floating on the water, surrounded by dense bamboo forests and exotic flowers and plants, the whole picture is full of the charm of classical Chinese landscape painting, the color is mainly elegant ink style, the details are exquisite and delicate, showing a quiet and mysterious atmosphere."
鼉,动物,龟鳖,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：鼉，一种古代神话中的巨型龟鳖，体型庞大，背甲坚硬如铁，色泽深绿带黑，四肢粗壮有力，头部宽大，双眼炯炯有神，常栖息于江河湖泊之中。请以古代插画风格和传统中国美学的彩色水墨风格描绘，背景为宁静的水面，周围点缀着古朴的山石与葱郁的树木。,动物\龟鳖\鼉.png,tuo（鼉）,"Prompt: Turtle, a giant turtle in ancient mythology, huge in size, hard as iron, dark green with black color, thick and powerful limbs, wide head, bright eyes, often inhabiting rivers and lakes. Painted in the style of ancient illustration and traditional Chinese aesthetics, the painting is set against a tranquil backdrop of tranquil water, dotted with quaint rocks and lush trees."
