名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
橐駝,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只橐駝，形象似骆驼但体型更为庞大，毛色呈深棕色，背部有两个高耸的驼峰，四肢粗壮有力，蹄子宽大适合在沙漠中行走。其眼睛圆而有神，长颈上覆盖着浓密的鬃毛，展现出一种古老而神秘的气息。背景为一片广袤无垠的沙漠，远处是连绵起伏的沙丘，天空呈现出淡淡的橙黄色，太阳即将落山，整个画面充满了浓厚的中国传统美学色彩。,动物\兽名\橐駝.png,tuotuo（橐駝）,"Prompt: A camel that resembles a camel but is larger, with dark brown fur, two towering humps on its back, thick and powerful limbs, and wide hooves suitable for walking in the desert. Its eyes are round and spirited, and its long neck is covered with a thick mane, showing an ancient and mysterious aura. The background is a vast desert, with rolling sand dunes in the distance, the sky showing a faint orange-yellow, the sun is about to set, and the whole picture is full of strong traditional Chinese aesthetics."
騊駼,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如馬,",prompt: 騊駼，其状如马，毛色斑斓如同彩虹，四蹄轻盈仿佛踏云而行，身姿矫健，鬃毛飘逸，眼神中透露出一种神秘的智慧。背景为山海经中的奇幻山水，以传统中国美学的彩色水墨风格呈现。,动物\兽名\騊駼.png,taotu（騊駼）,"prompt: The horse is like a horse, the color of the coat is like a rainbow, the four hooves are light as if walking on the clouds, the posture is vigorous, the mane is flowing, and the eyes reveal a mysterious wisdom. The background is the fantasy landscape in the Classic of Mountains and Seas, presented in the colorful ink style of traditional Chinese aesthetics."
狪狪,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如豚,有珠,其名自䚯,",prompt: 狪狪，其状如豚，身体圆润，四肢短小有力，全身覆盖着柔软的棕色毛发。它的眼睛大而明亮，闪烁着智慧的光芒。最特别的是，它的额头上镶嵌着一颗璀璨的明珠，光芒四射，照亮周围的一切。背景为幽静的山林，树木葱郁，溪流潺潺，整体风格参考古代插画和传统中国美学的彩色水墨风格。,动物\兽名\狪狪.png,tongtong（狪狪）,"prompt: Pig-like, with a round body, short and powerful limbs, and the whole body is covered with soft brown hair. Its eyes are large and bright, shining with wisdom. The most special thing is that it has a bright pearl on its forehead that shines brightly and illuminates everything around it. The background is a quiet mountain forest, lush trees, and a gurgling stream, and the overall style refers to the colorful ink style of ancient illustrations and traditional Chinese aesthetics."
蜼,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只蜼，古代神兽，形象参考山海经记载，长有类似猿猴的身躯，但尾巴更长且有力，毛色呈深棕色，眼睛灵动有神，四肢健壮，善于攀爬树木。背景为幽静的山林，古木参天，藤蔓缠绕，色彩以传统中国水墨风格为主，配以淡雅的彩色渲染，营造出神秘而宁静的氛围。,动物\兽名\蜼.png,wei（蜼）,"prompt: A cicada, an ancient mythical beast, the image refers to the records of the Classic of Mountains and Seas, with a body similar to that of an ape, but with a longer and more powerful tail, dark brown fur, smart eyes, strong limbs, and good at climbing trees. The background is a quiet mountain forest, with towering ancient trees and vines entangled, and the colors are dominated by traditional Chinese ink painting style, with elegant color rendering, creating a mysterious and serene atmosphere."
莬,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只神秘的莬兽，身形似兔而巨大，毛色斑斓如同彩虹，长有长长的耳朵和强壮的后腿。它栖息在深山幽谷之中，周围环绕着茂密的古木和奇花异草。画面采用传统中国美学的彩色水墨风格，背景是云雾缭绕的山脉和清澈的溪流，展现出一种宁静而神秘的氛围。,动物\兽名\莬.png,wen（莬）,"Prompt: A mysterious beast, with a rabbit-like and huge body, colorful fur like a rainbow, long ears and strong hind legs. It inhabits deep mountains and valleys, surrounded by dense ancient trees and exotic flowers. The painting adopts the color ink style of traditional Chinese aesthetics, with misty mountains and clear streams in the background, showing a serene and mysterious atmosphere."
聞𧲂,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如彘,黄身,白頭,白尾,",prompt: 一只名为聞𧲂的神兽，其形状像野猪，身体为黄色，头部和尾巴为白色，采用古代插画风格和传统中国美学的彩色水墨风格绘制。背景为山林环绕，增添神秘感。,动物\兽名\聞𧲂.png,wenlin（聞𧲂）,"Prompt: A mythical beast named Wen 𧲂, shaped like a wild boar, with a yellow body and a white head and tail, is painted in the colorful ink style of ancient illustration style and traditional Chinese aesthetics. The background is surrounded by mountains and forests, adding to the mystery."
蝟,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只古老的兽类，名为蝟，其形象融合了刺猬与野猪的特点，体表覆盖着坚硬的棘刺，头部有一对尖锐的獠牙。它生活在深山密林之中，常在夜幕降临时出没。画面采用传统中国美学的彩色水墨风格，背景是幽暗的森林和月光下的山峦，营造出神秘而古朴的氛围。,动物\兽名\蝟.png,wei（蝟）,"prompt: An ancient beast named the hedgehog has the characteristics of a hedgehog and a wild boar, with a body surface covered with hard spines and a pair of sharp fangs on its head. It lives in the deep mountains and dense forests and often haunts at nightfall. The painting adopts the color ink style of traditional Chinese aesthetics, with a dark forest and moonlit mountains in the background, creating a mysterious and quaint atmosphere."
蜼豹,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只蜼豹，身姿矫健，毛色斑斓如同山林中的迷彩，四肢强健有力，眼神锐利，尾巴长而灵活。背景为茂密的山林，色彩以传统中国水墨画风格为主，用细腻的笔触描绘出古朴而又生动的自然景象。,动物\兽名\蜼豹.png,weibao（蜼豹）,"prompt: A leopard, with a vigorous posture, colorful fur like camouflage in the mountains and forests, strong and powerful limbs, sharp eyes, and a long and flexible tail. The background is dense mountains and forests, and the colors are mainly in the style of traditional Chinese ink painting, depicting simple and vivid natural scenes with delicate brushstrokes."
文虎,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只名为文虎的神兽，身姿矫健，毛色斑斓如同山川河流，眼神中透露出智慧与威严。它栖息于幽静的山谷之中，周围环绕着奇花异草，古木参天。画面采用传统中国美学的彩色水墨风格，背景以淡雅的山水画为基调，展现出一种宁静而神秘的氛围。,动物\兽名\文虎.png,wenhu（文虎）,"prompt: A mythical beast named Wenhu, with a vigorous posture and colorful fur like mountains and rivers, reveals wisdom and majesty in his eyes. It inhabits a quiet valley, surrounded by exotic flowers and ancient trees. The painting adopts the color ink style of traditional Chinese aesthetics, and the background is based on elegant landscape paintings, showing a serene and mysterious atmosphere."
文馬,动物,兽名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学彩色水墨风格，文馬，一种神秘的兽类，形似马但拥有龙鳞和鹿角，身披五彩斑斓的羽毛，四蹄生风，腾云驾雾于山海之间，背景为古代山水画卷，远处有奇峰异石，近处溪流潺潺，古木参天，整个画面充满神秘而祥和的气息。,动物\兽名\文馬.png,wenma（文馬）,"prompt: Traditional Chinese aesthetic color ink style, literary horse, a mysterious beast, shaped like a horse but with dragon scales and antlers, dressed in colorful feathers, four hooves in the wind, soaring clouds and mist between mountains and seas, the background is an ancient landscape painting, there are strange peaks and rocks in the distance, streams are gurgling nearby, ancient trees are towering, the whole picture is full of mysterious and peaceful atmosphere."
