名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
犠,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只祭祀用兽犠，身体庞大而健壮，覆盖着五彩斑斓的鳞片，四蹄如虎爪般有力。它的眼神温和而智慧，头顶上长有一对螺旋形的角，角上缠绕着吉祥的云纹。背景是古代祭祀场景，四周环绕着古老的祭坛和燃烧的香火，整体画面采用传统中国美学的彩色水墨风格，色彩鲜艳而不失古朴，线条流畅且富有韵律感。,祭祀\祭祀用兽\犠.png,xi（犠）,"A sacrificial beast sacrifice, large and robust, covered with colorful scales, and its hooves as powerful as tiger claws. Its eyes are gentle and wise, with a pair of spiral horns on top of its head, which are wrapped in auspicious clouds. The background is an ancient sacrificial scene, surrounded by ancient altars and burning incense, and the overall picture adopts the color ink style of traditional Chinese aesthetics, with bright colors and simplicity, smooth and rhythmic lines."
羊,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只祭祀用的羊，体态健壮，毛色洁白如雪，站立在古朴的祭坛上，周围环绕着燃烧的香火和供品，背景是古老的山川和祥云，画面采用传统中国美学的彩色水墨风格，展现出庄严而神秘的氛围。,祭祀\祭祀用兽\羊.png,yang（羊）,"Prompt: A sacrificial sheep, with a strong body and white fur as white as snow, stands on a quaint altar, surrounded by burning incense and offerings, with ancient mountains and rivers and auspicious clouds in the background, and the picture adopts the colorful ink style of traditional Chinese aesthetics, showing a solemn and mysterious atmosphere."
彘,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt：一只巨大的黑色野猪，体型庞大，肌肉发达，皮肤上覆盖着粗糙的毛发。它的眼睛深邃而有神，獠牙锋利弯曲，展现出一种威严和力量感。背景是古代祭祀场景，周围有古朴的青铜器皿和燃烧的香火，整体风格参考古代插画和传统中国美学的彩色水墨风格。,祭祀\祭祀用兽\彘.png,zhi（彘）,"Prompt: A huge black boar with a large and muscular body covered in coarse hair. Its eyes are deep and divine, and its fangs are sharply curved, showing a sense of majesty and power. The background is an ancient sacrificial scene, surrounded by quaint bronze vessels and burning incense, and the overall style references ancient illustrations and the colorful ink style of traditional Chinese aesthetics."
大牢,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只体型庞大、毛色斑斓的祭祀用兽，名为大牢。它拥有强壮的身体和威严的姿态，象征着丰收与繁荣。背景为古代祭祀场景，四周环绕着香烟缭绕的祭坛和虔诚的祭司。画面采用传统中国美学的彩色水墨风格，色彩丰富而典雅，展现出浓厚的文化氛围。,祭祀\祭祀用兽\大牢.png,dalao（大牢）,"prompt: A large, colorful sacrificial beast named the Great Prison. With its strong body and majestic posture, it symbolizes a bountiful harvest and prosperity. The background is an ancient sacrificial scene, surrounded by incense altars and pious priests. The picture adopts the color ink style of traditional Chinese aesthetics, rich and elegant in color, showing a strong cultural atmosphere."
白狗,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只白色的狗，身体修长而优雅，毛发如雪般洁白无瑕，眼睛明亮有神。它站立在古老的祭坛旁，周围是飘渺的烟雾和神秘的符文，背景是一片幽静的山林，画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，充满古朴的祭祀氛围。,祭祀\祭祀用兽\白狗.png,baigou（白狗）,"prompt: A white dog with a slender and elegant body, snow-white and flawless hair, and bright eyes. It stands next to an ancient altar, surrounded by ethereal smoke and mysterious runes, with a quiet mountain forest in the background, and the picture adopts the color ink style of traditional Chinese aesthetics, with elegant colors and smooth lines, full of simple sacrificial atmosphere."
黒犬,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 黑犬，祭祀用兽，形象为全身漆黑的神犬，双眼炯炯有神，体态矫健。背景为中国古代祭祀场景，周围有古朴的青铜器和祭坛，整体风格参考古代插画，采用传统中国美学的彩色水墨风格，画面中透出神秘而庄重的氛围。,祭祀\祭祀用兽\黒犬.png,heiquan（黒犬）,"prompt: Black dog, sacrificial beast, the image is a black divine dog, with bright eyes and a vigorous posture. The background is an ancient Chinese sacrificial scene, surrounded by quaint bronzes and altars, and the overall style refers to ancient illustrations, using the color ink style of traditional Chinese aesthetics, and the picture reveals a mysterious and solemn atmosphere."
黒犧,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 黒犧，祭祀用兽，黑色的神秘生物，体型庞大，拥有牛的身体和鹿的角，眼睛闪烁着幽深的光芒。它身披黑色长毛，四肢强健有力，蹄子踏地时发出沉闷的声音。背景为古老的祭坛，周围环绕着燃烧的火把，烟雾缭绕，营造出一种庄严而神秘的氛围。画面采用传统中国美学的彩色水墨风格，线条流畅，色彩对比鲜明，富有层次感。,祭祀\祭祀用兽\黒犧.png,heixi（黒犧）,"Prompt: Black Sacrifice, sacrificial beast, black mysterious creature, huge in size, with the body of a cow and deer horns, and its eyes glowing with deep light. It is covered in long black hair, with strong and powerful limbs, and its hooves make a dull sound when it steps on the ground. The backdrop is an ancient altar, surrounded by burning torches and smoke, creating a solemn and mysterious atmosphere. The picture adopts the color ink style of traditional Chinese aesthetics, with smooth lines, sharp color contrast, and a sense of layering."
毛,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只神秘的祭祀用兽，名为毛，其形象古老而庄严。它拥有狮子般的身躯，覆盖着浓密的金色鬃毛，四足强健有力，尾巴粗壮且末端有一束蓬松的毛发。毛的头部有着鹿角，象征着力量与尊贵。它的眼睛深邃而明亮，仿佛能洞察人心。背景为古老的祭坛，周围环绕着烟雾缭绕的香火，整个画面采用传统的中国彩色水墨风格，色彩浓郁而富有层次感。,祭祀\祭祀用兽\毛.png,mao（毛）,"Prompt: A mysterious sacrificial beast named Mao, whose image is ancient and solemn. It has a lion-like body covered in a dense golden mane, strong and powerful four-legged tail, and a thick tail with a tuft of fluffy hair at the end. Mao's head has antlers, symbolizing strength and dignity. Its eyes are deep and bright, as if they can read into people's hearts. The background is an ancient altar, surrounded by smoky incense, and the whole picture adopts the traditional Chinese color ink style, rich and layered."
毛牷,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只古老的祭祀用兽毛牷，体态雄壮，毛色斑斓如同彩虹，四肢健硕有力。它的眼睛深邃有神，仿佛能洞察人心。背景是庄严的古代祭坛，四周环绕着神秘的符文和古老的图腾。整体画面采用传统中国美学的彩色水墨风格，色彩丰富而柔和，线条流畅，展现出一种庄重而又神秘的氛围。,祭祀\祭祀用兽\毛牷.png,maoquan（毛牷）,"prompt: An ancient sacrificial animal fur, with a majestic body, colorful fur like a rainbow, and strong limbs. Its eyes are deep and spirited, as if they can see into people's hearts. The background is a majestic ancient altar, surrounded by mystical runes and ancient totems. The overall picture adopts the color ink style of traditional Chinese aesthetics, with rich and soft colors and smooth lines, showing a solemn and mysterious atmosphere."
牡羊,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只用于祭祀的牡羊，形象庄重而神秘，身披细腻的羊毛，毛色洁白如雪。它站立在古老的祭坛旁，周围环绕着飘渺的云雾和古朴的青铜器皿。背景是深邃的山林，远处隐约可见巍峨的山峰。画面采用传统中国美学的彩色水墨风格，色彩柔和且富有层次感，展现出一种古老而庄严的氛围。,祭祀\祭祀用兽\牡羊.png,muyang（牡羊）,"prompt: A ram used for sacrifice, the image is solemn and mysterious, covered in fine wool, and the color of the coat is as white as snow. It stands by an ancient altar, surrounded by ethereal clouds and quaint bronze vessels. The background is deep mountains and forests, and towering peaks can be seen in the distance. The painting adopts the color ink style of traditional Chinese aesthetics, with soft and layered colors, showing an ancient and solemn atmosphere."
牛,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只祭祀用的牛，体态健壮，毛色光亮呈深棕色，双角弯曲有力，眼神温和而坚定。背景为古代祭祀场景，四周摆放着青铜器皿和祭品，整体画面采用传统中国美学的彩色水墨风格，色彩古朴典雅，线条流畅自然。,祭祀\祭祀用兽\牛.png,niu（牛）,"prompt: A sacrificial cow with a strong body, bright dark brown fur, bent and powerful horns, and gentle and firm eyes. The background is an ancient sacrificial scene, surrounded by bronze vessels and sacrifices, and the overall picture adopts the color ink style of traditional Chinese aesthetics, with simple and elegant colors and smooth and natural lines."
牝羊,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 古代祭祀用兽牝羊，体态丰满而优雅，毛色纯白如雪，双角弯曲呈螺旋状，眼神温顺中透着神秘。背景为古代祭坛，四周环绕着袅袅青烟，画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种庄重而神圣的氛围。,祭祀\祭祀用兽\牝羊.png,pinyang（牝羊）,"prompt: Ancient sacrificial beast sheep, plump and elegant, pure white as snow, double horns bent in a spiral, and meek eyes full of mystery. The background is an ancient altar, surrounded by green smoke, and the picture adopts the color ink style of traditional Chinese aesthetics, with elegant colors and smooth lines, showing a solemn and sacred atmosphere."
犬,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只祭祀用的神犬，体态矫健，毛色纯黑如墨，眼神中透露出神秘与庄严。背景为古代祭坛，四周弥漫着淡淡的香烟，天空中飘浮着祥云，整体画面采用传统中国美学的彩色水墨风格，色彩典雅，线条流畅。,祭祀\祭祀用兽\犬.png,quan（犬）,"prompt: A sacrificial divine dog, with a vigorous posture, pure black fur color, and mystery and solemnity in his eyes. The background is an ancient altar, surrounded by faint cigarettes, auspicious clouds floating in the sky, and the overall picture adopts the color ink style of traditional Chinese aesthetics, with elegant colors and smooth lines."
牷,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只用于祭祀的神兽牷，体态雄壮，毛色金黄，双眼炯炯有神，四蹄如铜铸般坚实有力。它身披五彩斑斓的鳞甲，头顶长有一对螺旋形的犄角，角上缠绕着吉祥的云纹。背景是古朴的祭坛，四周环绕着飘渺的云雾，祭坛上摆放着各种供品和香炉，烟雾缭绕，营造出神秘而庄重的氛围。整体画面采用传统中国美学的彩色水墨风格，色彩丰富而不失典雅，线条流畅而富有韵律感。,祭祀\祭祀用兽\牷.png,quan（牷）,"prompt: A mythical beast used for sacrifice, with a majestic body, golden fur, bright eyes, and four hooves as solid and powerful as bronze casting. It is dressed in colorful scales and has a pair of spiral horns on the top of its head, which are wrapped in auspicious clouds. In the background is a quaint altar, surrounded by ethereal clouds and mist, and various offerings and incense burners are placed on the altar, and the smoke is swirling, creating a mysterious and solemn atmosphere. The overall picture adopts the color ink style of traditional Chinese aesthetics, rich in color and elegant, and the lines are smooth and rhythmic."
黍,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只用于祭祀的神兽黍，它体型庞大而威严，毛色金黄如成熟的稻谷，眼睛明亮有神，四蹄健壮有力。背景是古老的祭坛，周围环绕着神秘的符文和燃烧的香火，整体氛围庄重肃穆，采用传统中国美学的彩色水墨风格绘制。,祭祀\祭祀用兽\黍.png,shu（黍）,"prompt: A mythical beast used for sacrifice, it is large and majestic, with golden fur like ripe rice, bright and divine eyes, and strong and powerful hooves. In the background is an ancient altar, surrounded by mystical runes and burning incense, and the overall atmosphere is solemn and solemn, painted in the colorful ink style of traditional Chinese aesthetics."
少牢,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 少牢，祭祀用兽，中国古代祭祀仪式中使用的牲畜之一，通常指猪和羊。请绘制一幅传统中国美学风格的彩色水墨画，画面中展示一只庄重肃穆的猪和一只温顺安静的羊，它们被精心装饰，准备用于祭祀仪式。背景为古代祭坛，周围环绕着古朴典雅的建筑和祥云缭绕的天空，展现出一种神秘而庄严的氛围。,祭祀\祭祀用兽\少牢.png,shaolao（少牢）,"prompt: Shao Lao, sacrificial beast, one of the livestock used in ancient Chinese sacrificial ceremonies, usually referring to pigs and sheep. Draw a colorful ink painting in the style of traditional Chinese aesthetics, showing a solemn pig and a meek and quiet sheep, elaborately decorated and ready for sacrificial rituals. The background is an ancient altar, surrounded by simple and elegant buildings and auspicious clouds, showing a mysterious and solemn atmosphere."
太牢,祭祀,祭祀用兽,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一只庄重的祭祀用兽太牢，体型庞大而威严，身披五彩斑斓的毛皮，象征着天地间的祥瑞之气。它的眼睛深邃有神，透露出智慧与力量。背景是古代祭祀场景，四周摆放着各种祭品，烟雾缭绕，增添神秘氛围。整体风格参考古代插画，采用传统中国美学的彩色水墨风格，展现出一种庄严而神圣的感觉。,祭祀\祭祀用兽\太牢.png,tailao（太牢）,"prompt: A solemn sacrificial beast is too strong, large and majestic, covered in colorful fur, symbolizing the auspiciousness between heaven and earth. Its eyes are deep and spirited, revealing wisdom and strength. The background is an ancient sacrificial scene, surrounded by various offerings, and the smoke fills the air, adding to the mysterious atmosphere. The overall style refers to ancient illustrations and adopts the colorful ink style of traditional Chinese aesthetics, showing a sense of solemnity and sacredness."
