名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path,显示名字,prompt翻译
亹冬,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 亹冬，一种传说中的奇异草本植物，生长于幽深山谷之中。其叶片细长如丝，色泽翠绿欲滴，花朵小巧玲珑，呈淡紫色，散发出淡淡的幽香。在月光下，整株植物仿佛被一层薄雾笼罩，显得神秘莫测。请以传统中国美学的彩色水墨风格绘制此植物，背景为幽静的山谷，月光洒落，营造出一种宁静而神秘的氛围。,植物\草名\亹冬.png,weidong（亹冬）,"prompt: Winter, a legendary exotic herb that grows in deep valleys. Its leaves are slender as silk, the color is emerald green, and the flowers are small and exquisite, lilac, exuding a faint fragrance. In the moonlight, the whole plant seems to be shrouded in a layer of mist, which looks mysterious. Paint this plant in the colorful ink style of traditional Chinese aesthetics, with a quiet valley in the background and moonlight pouring down, creating a serene and mysterious atmosphere."
烏韭,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 乌韭，一种神秘的草本植物，生长在幽深的山谷之中。它的叶片细长而柔软，呈现出深邃的墨绿色，仿佛能吸收周围所有的光线。植株不高，但形态优雅，叶子间偶尔会闪烁着微弱的荧光，如同夜空中最暗淡的星辰。请以古代插画风格和传统中国美学的彩色水墨风格描绘这株乌韭，背景为云雾缭绕的山峦，营造出一种梦幻而神秘的氛围。,植物\草名\烏韭.png,wujiu（烏韭）,"prompt: Black leeks, a mysterious herb that grows in deep valleys. Its leaves are slender and soft, showing a deep dark green color, as if it can absorb all the light around it. The plant is not tall, but the shape is elegant, and the leaves occasionally flash faintly fluorescent, like the faintest stars in the night sky. Depict this leek in the style of ancient illustration and traditional Chinese aesthetics, with cloudy mountains in the background, creating a dreamy and mysterious atmosphere."
莬丘,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 《山海经》中的莬丘草，生长于古老山脉之间，其叶片细长如兔耳，色泽翠绿欲滴，茎干坚韧挺拔。在清晨的雾气中，莬丘草显得格外神秘，仿佛是仙人遗落人间的珍稀之物。请以古代插画风格和传统中国美学的彩色水墨风格绘制，画面中莬丘草随风轻摇，周围点缀着奇石和古木，营造出一种幽静而神秘的氛围。,植物\草名\莬丘.png,wenqiu（莬丘）,"prompt: The hill grass in the ""Classic of Mountains and Seas"" grows between ancient mountains, and its leaves are slender like rabbit ears, the color is emerald green, and the stem is tough and straight. In the morning mist, the grass is particularly mysterious, as if it is a rare thing left by the immortals in the world. Painted in the style of ancient illustration and traditional Chinese aesthetics, the picture features grass swaying gently in the wind, surrounded by strange rocks and ancient trees, creating a quiet and mysterious atmosphere."
無條,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如槀茇,其葉如葵,赤背,",prompt: 无条，一种古老的草本植物，其形态类似槀茇，叶片形状如同葵叶，背面呈红色。请以古代插画风格和传统中国美学的彩色水墨风格描绘这种神秘的草本植物。背景为远古山林，色彩以淡雅为主，突出无条的独特之处。,植物\草名\無條.png,wutiao（無條）,"prompt: Wu Tiao, an ancient herbaceous plant, its shape resembles a spur, the leaves are shaped like sunflower leaves, and the back is red. Please depict this mysterious herb in the style of ancient illustration and the colorful ink style of traditional Chinese aesthetics. The background is ancient mountains and forests, and the colors are mainly elegant, highlighting the uniqueness of the unruly."
薤,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨风格，薤草，细长的绿色叶片，根部白色，生长在湿润的土地上，周围有其他野草和小花点缀，背景是淡淡的山水画，色彩淡雅，充满自然之美。,植物\草名\薤.png,xie（薤）,"prompt: Traditional Chinese ink style, leek, slender green leaves, white roots, growing on moist land, surrounded by other weeds and small flowers, the background is a light landscape painting, elegant colors, full of natural beauty."
香,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨风格的香草，细长而柔韧的叶片轻轻摇曳，叶片上点缀着淡紫色的小花，花朵散发着淡淡的香气，背景是朦胧的山水，整幅画面充满古朴典雅的气息。,植物\草名\香.png,xiang（香）,"prompt: Traditional Chinese color ink style vanilla, slender and flexible leaves gently swaying, the leaves are dotted with lavender flowers, the flowers exude a faint fragrance, the background is hazy landscape, the whole picture is full of simple and elegant atmosphere."
蕭,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，萧草，细长而柔软的茎叶随风轻摆，叶片呈现出淡绿色，边缘略带波浪状，整株植物在微风中摇曳生姿，仿佛能听到风吹过草丛的声音，背景为山间清幽的自然风光，远处有淡淡的云雾缭绕，增添几分神秘与宁静。,植物\草名\蕭.png,xiao（蕭）,"prompt: Colorful ink style of traditional Chinese aesthetics, Xiao Cao, slender and soft stems and leaves sway gently in the wind, the leaves are pale green, the edges are slightly wavy, the whole plant sways in the breeze, as if you can hear the sound of the wind blowing through the grass, the background is the quiet natural scenery in the mountains, and there are faint clouds and mist in the distance, adding a bit of mystery and tranquility."
薫草,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"麻葉,方莖,赤華,黒實,臭如蘼蕪,",prompt: 一株薫草，其叶子形状类似麻叶，茎干为方形，花朵呈现出鲜艳的红色，果实则为深黑色。整株植物散发着蘼芜般的香气，画面采用传统中国美学的彩色水墨风格，细腻描绘出薫草的独特形态与色彩，背景以淡雅的山水或古典园林为衬托，营造出一种宁静而神秘的氛围。,植物\草名\薫草.png,xuncao（薫草）,"Prompt: A plant with leaves similar to hemp leaves, square stems, bright red flowers, and deep black fruits. The whole plant exudes a fragrance like chrysanthemum, and the picture adopts the color ink style of traditional Chinese aesthetics, delicately depicting the unique form and color of the grass, and the background is set against the backdrop of elegant landscapes or classical gardens, creating a peaceful and mysterious atmosphere."
荀草,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其狀如葌,方莖,黄華,赤實,其本如藁本,",prompt: 《山海经》中的荀草，其状如葌，方茎，黄花，赤实，其本如藁本。请绘制一幅传统中国美学的彩色水墨风格插画，画面中荀草生长在古朴的山野之中，方正的茎干挺拔而立，黄色的花朵点缀其间，红色的果实饱满诱人，根部如同藁本般粗壮有力，整体呈现出一种神秘而优雅的气息。背景可以是淡雅的山水，远处隐约可见古老的村落和蜿蜒的小径，营造出一种宁静而祥和的氛围。,植物\草名\荀草.png,xuncao（荀草）,"prompt: The Xun grass in the ""Classic of Mountains and Seas"" looks like a grass, square stem, yellow flowers, red fruits, and its root is like a straw root. Please draw a colorful ink style illustration of traditional Chinese aesthetics, in which Xun grass grows in the quaint mountains, the square stems stand upright, the yellow flowers are dotted among them, the red fruits are full and attractive, and the roots are as thick and powerful as straw, presenting a mysterious and elegant atmosphere as a whole. The background can be elegant landscapes, with ancient villages and winding paths looming in the distance, creating a serene and peaceful atmosphere."
葱,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，葱，草名，细长翠绿的叶子，根部微微泛白，生长在湿润肥沃的土地上，周围点缀着几朵淡紫色的小花，远处是朦胧的山峦和轻柔的云雾，画面充满诗意与宁静。,植物\草名\葱.png,cong（葱）,"prompt: Colorful ink style of traditional Chinese aesthetics, green onion, grass name, slender emerald green leaves, slightly white roots, growing on moist and fertile land, dotted with a few lavender flowers, hazy mountains and soft clouds in the distance, the picture is full of poetry and tranquility."
薫華草,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"朝生夕死,",prompt: 朝生夕死的薫華草，细长的茎上绽放着淡紫色的小花，花瓣轻盈透明，仿佛晨露凝结而成。清晨时分，花朵在第一缕阳光下缓缓绽放，散发着淡淡的幽香；傍晚时分，花朵逐渐凋零，化作一缕清烟消散于夜色中。画面背景为一片宁静的山谷，山间云雾缭绕，远处隐约可见古朴的亭台楼阁。整体风格参考古代插画和传统中国美学的彩色水墨风格，色调以淡雅为主，突出薫華草短暂而美丽的生命。,植物\草名\薫華草.png,xunhuacao（薫華草）,"prompt: The flower grass blooms with lilac flowers on its slender stems, and the petals are light and transparent, as if condensed by morning dew. In the early morning, the flowers slowly bloom under the first rays of sunlight, exuding a faint fragrance; In the evening, the flowers gradually wither and dissipate into a wisp of smoke in the night. The background of the picture is a quiet valley, with clouds and mist in the mountains, and quaint pavilions and pavilions faintly visible in the distance. The overall style refers to the color ink style of ancient illustrations and traditional Chinese aesthetics, and the color palette is mainly elegant, highlighting the short and beautiful life of the fragrant grass."
芎窮,植物,草名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 传统中国美学的彩色水墨风格，芎窮草，生长在山间幽谷之中，叶片细长而翠绿，花序呈伞状，花朵小巧玲珑，颜色淡紫或粉白，散发出淡淡的清香，周围环绕着轻盈的雾气，远处是连绵起伏的山峦，近处有清澈的小溪潺潺流过，整体画面宁静而富有诗意。,植物\草名\芎窮.png,qiongqiong（芎窮）,"prompt: Colorful ink style of traditional Chinese aesthetics, Xiongqiong grass, growing in the valley in the mountains, the leaves are slender and emerald green, the inflorescences are umbrella-shaped, the flowers are small and exquisite, the color is light purple or pink white, exuding a faint fragrance, surrounded by light mist, in the distance are rolling mountains, there are clear streams flowing nearby, the overall picture is quiet and poetic."
